CO,Gas,Temp,Humidity,Pressure,Oxygen,Alert,Escape_Time
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0.42,324.84,29.83,74.31,1012.73,20.54,Warning: High Humidity (Respiratory Risk),60.0
0.42,327.27,29.83,74.3,1012.72,20.77,Warning: High Humidity (Respiratory Risk),60.0
0.44,329.71,29.83,74.29,1012.72,21.0,Warning: High Humidity (Respiratory Risk),60.0
0.44,329.71,29.83,74.28,1012.7,21.16,Warning: High Humidity (Respiratory Risk),60.0
0.42,328.49,29.83,74.27,1012.7,21.07,Warning: High Humidity (Respiratory Risk),60.0
0.44,324.84,29.83,74.26,1012.73,20.81,Warning: High Humidity (Respiratory Risk),60.0
0.44,332.18,29.83,74.25,1012.73,20.7,Warning: High Humidity (Respiratory Risk),60.0
0.45,334.66,29.83,74.25,1012.71,20.81,Warning: High Humidity (Respiratory Risk),60.0
0.43,333.42,29.83,74.24,1012.73,20.84,Warning: High Humidity (Respiratory Risk),60.0
0.43,338.41,29.83,74.24,1012.71,20.91,Warning: High Humidity (Respiratory Risk),60.0
0.45,334.66,29.83,74.24,1012.71,20.86,Warning: High Humidity (Respiratory Risk),60.0
0.44,338.41,29.83,74.22,1012.7,20.72,Warning: High Humidity (Respiratory Risk),60.0
0.45,329.71,29.83,74.21,1012.72,20.53,Warning: High Humidity (Respiratory Risk),60.0
0.43,339.67,29.84,74.19,1012.72,20.37,Warning: High Humidity (Respiratory Risk),60.0
0.44,333.42,29.84,74.17,1012.7,20.36,Warning: High Humidity (Respiratory Risk),60.0
0.44,339.67,29.84,74.17,1012.72,20.38,Warning: High Humidity (Respiratory Risk),60.0
0.17,159.39,29.84,74.17,1012.7,20.36,Warning: High Humidity (Respiratory Risk),60.0
0.64,429.86,29.84,74.17,1012.72,20.41,Warning: High Humidity (Respiratory Risk),60.0
0.64,463.98,29.84,74.18,1012.7,20.3,Warning: High Humidity (Respiratory Risk),60.0
